Course,Attribute(s),Comment
ACCY 2001 Introduction to Financial Accounting,ESTM,
ACCY 2002 Introductory Managerial Accounting,ESTM,
ACCY 3106 Financial Statement Analysis,ESTM,
AMST 2710 The United States in the World,ESHA,
ANAT 2130 Human Embryology,ESTM,
ANAT 2160 Human Functional Neuroanatomy,ESTM,
ANTH 2501 The Anthropology of Gender: Cross-Cultural Perspectives,"ESAG, EFCC, EFCJ, EFCD",
ANTH 2502 Anthropology of Science and Technology: Twenty-First Century Brave New Worlds,"ESAG, EFCC",
"ANTH 2506 Religion, Myth, and Magic (Same as REL 2506: Religion, Myth, and Magic)","EFCC, ESAG",
ANTH 3501 Anthropology of Development,"EFCC, EFCD, EFCE, EFCF, ESAG",
ANTH 3503 Psychological Anthropology,"ESAG, EFCC, EFCD",
"ANTH 3504 Illness, Healing, and Culture","ESAG, EFCC, EFCD",
"ANTH 3506 Politics, Ethnicity, and Nationalism","ESAG, EFCC, EFCA, EFCB, EFCH",
"ANTH 3507 Kinship, Family, and Community","ESAG, EFCC",
ANTH 3513 Anthropology of Human Rights,"ESAG, EFCC, EFCA, EFCB, EFCD, EFCE",
ANTH 3531 Methods in Sociocultural Anthropology,ESRM,
"ANTH 3601 Language, Culture, and Cognition","ESAG, EFCC",
ANTH 3691 Special Topics in Linguistic Anthropology (Anthropology of Sound),ESAG,
ANTH 3691 Special Topics in Linguistic Anthropology (Narrative Analysis),ESAG,
ANTH 3702 Anthropology of Latin America,"ESAG, ERFB, EFCC, EFCE, ELAA",
ANTH 3704 Cultures of Southeast Asia,ESAG,
ANTH 3707 Anthropology of the Middle East,"ESAG, ERFE, EFCC, EFCE, EMEA",
ANTH 3708 Africa and Contemporary Diaspora,"ESAG, ERFA",
ANTH 3708 Africa and the Contemporary Diaspora,"ERFA, EFCC, EFCE, EAFA",
ANTH 3709 Japanese Culture Through Film,"ESAG, EASA, EASB, EFCC",
ANTH 3791 Topics in Regional Anthropology (Anthropology of the Caribbean),"ERFB, EFCC, ELAA",
ANTH 3801 African Roots from Australopithecus to Zimbabwe,"EFCC, EAFA",
ANTH 3814 Ancient Mexican Civilizations,ELAA,
ANTH 3991 Special Topics (Anth of Environmental Politics),ESAG,
ANTH 3991 Special Topics (Anthropology of Environmental Politics),"EFCE, EFCG",
ANTH 3991 Special Topics (Anthropology of Islam). Same as IAFF 3188 Special Topics in Middle East Studies (Anthropology of Islam),"ESAG, EFCC",
"ANTH 3991 Special Topics (Health, Gender, and Intersectionality)","EFCJ, EFCD, EFCE",
ANTH 3991 Special Topics (Medical Anthropology),"ESAG, EFCC, EFCD",
ANTH 3991 Special Topics (Race and Policing),EFCC,
ANTH 3991 Speical Topics (Anthropology of Islam). Same as IAFF 3188: Special Topics in Middle East Studies (Anthropology of Islam),EMEA,
APSC 2057 Analytical Mechanics I,ESTM,
APSC 2058 Analytical Mechanics II,ESTM,
APSC 3115 Engineering Analysis III,"EQRM, ESRM",
ARAB 2105 Topics in Arabic Studies (Oman: Business & Culture Exploration),"EFCC, EMEB",
ARAB 2105 Topics in Arabic Studies (PopCulture:MidEast&NorthAfrica),"EAFB, EMEB, EFCC",
ARAB 3105 ReadingsinArabPolitics&Society,EMEB,
ARAB 3105 Special Topics (Arabic and Social Media),"EFCC, EMEB",
ARAB 3105 Special Topics (Arabic Literature: Arabia to America),"EFCC, EMEB",
ARAB 3105 Special Topics (Contemporary Arabic Literature),EFCC,
ARAB 3105W MISTAKES: was missing in English and mistakenly also had a 2nd HIST crosslist.  CHANGE TO: Special Topics (Gender and the Arab World (in English)). Same as HIST 3001W and WGSS 3170W: Special Topics (Gender and the Arab World),EFCJ,
ARAB 3105W Special Topics (Gender and the Arab World),"EMEB, EFCC",
ARAB 3301 Modern Arabic Literature,"EFCC, EMEB",
ARAB 3302 Media Arabic,EMEB,
ARAB 3311 Business Arabic,EMEB,
ARAB 3501 Arabic and Arab Identity,"EFCC, EMEB",
ARAB 3501W: Arabic and Arab Identity,EMEB,
ARAB 3502 Arab Film and Culture in English,"EFCC, EMEB",
BADM 3501 Financial Management and Markets,ESTM,
BADM 3601 Operations Management,ESTM,
BIOC 3261 Introductory Medical Biochemistry,ESTM,
BIOC 3262 Biochemistry Laboratory,ESTM,
BISC 2207 Genetics,ESTM,
BISC 2213 Biology of Cancer,ESTM,
BISC 2214 Developmental Biology,ESTM,
BISC 2220 Developmental Neurobiology,ESTM,
BISC 2224 Biology of Horticulture,ESTM,
BISC 2320 Neural Circuits and Behavior,ESTM,
BISC 2339 Parasitology,ESTM,
BISC 2450 Organic Evolution,ESTM,
BISC 2452 BISC 2453 Animal Behavior and Animal Behavior Laboratory,ESTM,
BISC 2454 BISC 2456 General Ecology General Ecology Laboratory,ESTM,
BISC 3209 Molecular Biology,ESTM,
BISC 3261 Introductory Medical Biochemistry,ESTM,
BISC 3262 Biochemistry Laboratory,ESTM,
"BISC 3458
BISC 3453 Plant Comparative Structure and Function
and Plant Comparative Structure and Function Lab",ESTM,
BISC 3460 Conservation Biology,ESTM,
BISC 3460W Conservation Biology,ESTM,
CAH 1135 History of Spanish Art from the Golden Age to Goya,EEEB,
CAH 1136 Spanish Art from Goya to Picasso,EEEB,
CAH 2001 Special Topics (Protest in Modern African Art),EAFB,
CAH 2001 Special Topics (Waste Politics in African Art),EAFB,
CAH 2190 East Asian Art,EASB,
CAH 2191 South Asian Art,EASB,
CAH 3120 Italian Art and Architecture of the Thirteenth through Fifteenth Centuries,EEEB,
CAH 3141 European Art of the Early Nineteenth Century,EEEB,
CAH 3160 Topics in Latin American Art and Architecture,ELAB,
CAH 3181 Special Topics in Asian Art (East Asian 20th-21st Century),EASB,
CE 2220 Introduction to the Mechanics of Solids,ESTM,
CHEM 2085 Environmental Chemistry,ESTM,
CHEM 2122 Introductory Quantitative Analysis,ESTM,
CHEM 2123 Introductory Quantitative Analysis Laboratory,ESTM,
CHEM 2123W Introductory Quantitative Analysis Laboratory,ESTM,
CHEM 2151 Organic Chemistry I,ESTM,
CHEM 2152 Organic Chemistry II,ESTM,
CHEM 2153 Organic Chemistry Laboratory I,ESTM,
CHEM 2154 Organic Chemistry Laboratory II,ESTM,
CHEM 3140 Geochemistry,ESTM,
CHEM 3165 Biochemistry I,ESTM,
CHEM 3166 Biochemistry II,ESTM,
CHEM 3166W Biochemistry II,ESTM,
CHEM 3167 Biochemistry Laboratory,ESTM,
CHEM 3170 Introduction to Physical Chemistry,ESTM,
CHEM 3171 Physical Chemistry I,ESTM,
CHEM 3172 Physical Chemistry II,ESTM,
CHEM 3173 Physical Chemistry Laboratory,ESTM,
CHEM 3262 Biochemistry Laboratory,ESTM,
CHEM 3564 Lipid Biotechnology,ESTM,
CHEM 4113 Chemical Instrumentation,ESTM,
CHEM 4122 Instrumental Analytical Chemistry,ESTM,
CHEM 4123 Instrumental Analytical Chemistry Laboratory,ESTM,
CHEM 4134 Inorganic Chemistry,ESTM,
CHIN 3109 Introduction to Classical Chinese I,EASB,
CHIN 3110 Introduction to Classical Chinese II,EASB,
CHIN 3112 Chinese Literature in Translation II,EASB,
"CHIN 3136W Chinese Women in Myth, Literature, and Film","EASB, EFCJ",
CHIN 3162 Chinese Culture Through Film,"EFCC, EASB",
CHIN 3163 Taiwanese Literature and Film,"EFCC, EASB",
CHIN 3172 Poetry of the Tang and Song Periods II,EASB,
CHIN 3173 Chinese Drama and Theatre,EASB,
CLAS 2113,EEEB,
CSCI 1012 Introduction to Programming with Python,"EQRM, ESRM",
CSCI 1112 Algorithms and Data Structures,ESTM,
CSCI 1311 Discrete Structures I,ESTM,
CSCI 2113 Software Engineering,ESTM,
CSCI 2312 Discrete Structures II,ESTM,
CSCI 2441 Database Systems and Team Projects,ESTM,
CSCI 2461 Computer Architecture I,ESTM,
CSCI 3212 Algorithms,ESTM,
CSCI 3313 Foundations of Computing,ESTM,
CSCI 3362 Probability for Computer Science,ESTM,
CSCI 3410 Systems Programming,ESTM,
CSCI 3411 Operating Systems,ESTM,
CSCI 3462 Computer Architecture II,ESTM,
CSCI 3571 Introduction to Bioinformatics,ESTM,
CSCI 4223 Principles of Programming Languages,ESTM,
CSCI 4235 Development of Open-Source Software,ESTM,
CSCI 4237 Software Design for Handheld Devices,ESTM,
CSCI 4243 Capstone Design Project I,ESTM,
CSCI 4244 Capstone Design Project II,ESTM,
CSCI 4331 Cryptography,ESTM,
CSCI 4341 Continuous Algorithms,ESTM,
CSCI 4342 Computational Linear Algebra and Applications,ESTM,
CSCI 4364 Machine Learning,ESTM,
CSCI 4415 Real-Time and Embedded Systems,ESTM,
CSCI 4431 Computer Networks I,ESTM,
CSCI 4455 Computer Game Design and Programming,ESTM,
CSCI 4511 Artificial Intelligence Algorithms,ESTM,
CSCI 4521 Introduction to Mobile Robotics,ESTM,
CSCI 4525 Autonomous Robotics: Manipulation,ESTM,
CSCI 4527 Introduction to Computer Vision,ESTM,
CSCI 4531 Computer Security,ESTM,
CSCI 4541 Network Security,ESTM,
CSCI 4551 Concepts and Applications of Computer Graphics,ESTM,
CSCI 4552 Design of Computer Animation I,ESTM,
CSCI 4553 Design of Computer Animation II,ESTM,
CSCI 4554 Computer Graphics I,ESTM,
CSCI 4561 Design of User–Interface Programs,ESTM,
CSCI 4572 Computational Biology,ESTM,
CSCI 4576 Introduction to Biomedical Computing,ESTM,
CSCI 4577 Biomedical Computing,ESTM,
DATS 1001 Data Science for All,"EQRM, ESRM",
DATS 2102 Data Visualization for Data Science,ESTM,
DATS 2103 Data Mining for Data Science,ESTM,
DATS 2104 Data Warehousing for Data Science,ESTM,
DATS 4001 Data Science Capstone,ESTM,
DNSC 1001 Business Analytics I: Statistics for Descriptive and Predictive Analytics *,"EQRM, ESRM",
DNSC 2001 Business Analytics II: Predictive and Prescriptive Analytics,"EQRM, ESRM, ESTM",
"DNSC 3288 Big Data, Predictive Analytics, and Ethics",ESTM,
DNSC 3403  Decision Models,ESTM,
DNSC 4211 Programming for Analytics,ESTM,
DNSC 4219 Forecasting Analytics,ESTM,
DNSC 4279 Data Mining,ESTM,
EALL 3811 Confucian Literature in East Asia,EASB,
EALL 3814 Religion and Philosophy in East Asia,"EASB, EFCC",
EALL 3814W Religion and Philosophy in East Asia,"EASB, EFCC",
EALL 3831 Introduction to Daoism,EASB,
"EALL 3881 Women, Gender, and Religion in China","EFCJ, EASB",
ECON 2101 Intermediate Microeconomic Theory,"ESTM, EFCF",
ECON 2102 Intermediate Macroeconomic Theory,"ESTM, EFCF",
ECON 2103 Intermediate Microeconomic Theory: A Mathematical Approach,"ESTM, EFCF",
ECON 2104 Intermediate Macroeconomic Theory: A Mathematical Approach,"ESTM, EFCF",
ECON 2121 Financial Economics,"ESTM, EFCF",
ECON 2123 Introduction to Econometrics,"EQRM, ESTM, ESRM",
ECON 2136 Environmental and Natural Resource Economics,"EFCG, EFCF",
ECON 2151 Economic Development,"ESTM, EFCE, EEEA, EFCF",
ECON 2157 Urban and Regional Economics,EFCF,
ECON 2167 Economics of Crime,ESTM,
ECON 2169 Introduction to the Economy of China,"ERFC, EFCA, EFCE, EASA, EFCF",
ECON 2182 Intermediate Macroeconomic Theory and Policy,EFCF,
ECON 3105 Economic Forecasting,"EQRM, ESRM",
ECON 3142 Labor Economics,ESTM,
ECON 3162 Public Finance: Taxation,"ESTM, EFCF",
ECON 3191 Game Theory,"ESTM, EFCF",
ECON 3199 Advanced Topics in Economics (Economics Network of Industries),ESTM,
ENGL 3840W Gender and Literature,EFCJ,
ENGL 3940 Topics in African American Literary Studies (Black Women Writers 21st Century (Same as WGSS 3170: Black Women Writers 21st Century),EFCJ,
FINA 3001 Intermediate Finance,ESTM,
FINA 3101 Investment and Portfolio Management,ESTM,
FINA 3201 Exploring Finance with Simulation,ESTM,
FINA 3301 Money and Capital Markets,"ESTM, EFCF",
FINA 4001 Advanced Financial Management,ESTM,
FINA 4101 Applied Financial Securities Analysis,ESTM,
FINA 4201 Real Estate Investment,ESTM,
FINA 4301 Financial Derivatives,ESTM,
FINA 4900 Special Topics (Applied Financial Security Analysis: Fixed Income),ESTM,
FINA 4900 Special Topics (Financial Models with Pyhon),ESTM,
FREN 2500 Cultural Politics of Food in France,"EFCC, EEEB",
FREN 3020 Contemporary France,"EFCC, EEEB",
FREN 3100W Introduction to French Literature,"EFCC, EEEB",
FREN 3220 Modern French Literature,"EFCC, EEEB",
FREN 3560 Topics in Contemporary Francophone Literature and Cinema,EEEB,
GEOG 2000 Sophomore Colloquium (Migrants and the City),"ESAG, EFCC, EFCA, EASA",
GEOG 2104 Introduction to Cartography and GIS,"EQRM, ESTM, ESRM",
GEOG 2120 World Regional Geography,"ESAG, EFCC, EFCE, EFCG, EFCH, EFCH, EFCF",
GEOG 2127 Population Geography,"ESAG, EFCC, EFCB, EFCD, EFCE, EFCF",
GEOG 2129W Biogeography,ESAG,
"GEOG 2133 People, Land, and Food","ESAG, EFCC, EFCD, EFCE, EFCG, EFCF",
GEOG 2134 Energy Resources,"ESAG, EFCB, EFCG, EFCF",
GEOG 2136 Water Resources,"ESAG, EFCB, EFCD, EFCG, EFCF",
GEOG 2141 Cities in the Developing World,"ESAG, EFCD, EFCE, EFCF",
GEOG 2147 Military Geography,"ESAG, EFCB, EFCI",
GEOG 2148 Economic Geography,"ESAG, EFCA, EFCE, EFCF",
GEOG 3105 Techniques of Spatial Analysis,ESTM,
GEOG 3106 Intermediate Geographic Information Systems,ESTM,
GEOG 3107 Introduction to Remote Sensing,ESTM,
GEOG 3108 Weather and Climate,EFCG,
GEOG 3128 Geomorphology and Natural Hazards,ESTM,
GEOG 3143 Urban Sustainability,"ESAG, EFCD, EFCE, EFCG, ESAG, EFCF",
GEOG 3145 Cultural Geography,"ESAG, EFCC",
GEOG 3146 Political Geography,"ESAG, EFCA, EFCB, EFCH, EFCI",
GEOG 3154 Geography of the Middle East and North Africa,"ERFA, ERFE, EFCC, EFCE, EAFA, EMEA",
GEOG 3161 Geography of Latin America,"ERFB, EFCE, ELAA",
GEOG 3164 The Geography of Africa,"ERFA, EFCC, EFCE, EAFA",
GEOG 3165 Geography of South Asia,"ERFC, EFCC, EFCA, EFCE, EFCG, EASA",
GEOG 3193 Environmental Law and Policy,EFCG,
GEOG 3194 Special Topics in Physical Geography (Climatic Change),EFCG,
GEOG 3195 Special Topics in Human Geography (Agriculture and Sustainable Food Systems),"ESAG, EFCE, EFCG",
GEOG 3195 Special Topics in Human Geography (Geography of Development),ESAG,
GEOG 3195 Special Topics in Human Geography (Political Ecology),"ESAG, EFCG",
"GEOG 3195 Special Topics in Human Geography (Race, Ethnicity, and Place)","EFCC, EFCA",
GEOG 3196 Special Topics in Techniques (Geographic Information Systems III),ESTM,
GEOG 3197 Special Topics in Regional Geography (Geography of Russia and Its Neighbors),"ERFD, EEEA, ESAG",
GEOG 3198 Special Topics (Climate Change and Social Change),"EFCA, EFCE, EFCG",
GEOG 3198 Special Topics (Geographies of Social Justice),"ESAG, EFCG",
GEOG 3198 Special Topics (Open Source: Geo Programming II),"EQRM, ESRM",
GEOG 3218 Arctic Systems,"ESAG, EFCG",
GEOG 3275 Sustainable Food Systems,ESAG,
GEOG 3810 Planning Cities,"ESAG, EFCE",
GEOG 4307 Digital Image Processing and Analysis,ESTM,
GEOG 4308 Programming for Geospatial Applications I,ESTM,
GEOG 4309 GIS for Emergency Management,ESTM,
GEOG 4311 Open Source Solutions for Geospatial Project Management,ESTM,
GEOG 6293 Special Topics (Open Source Geospatial Programming),ESTM,
GEOG 6305 Geospatial Statistics,ESTM,
GEOL 1005 Environmental Geology,EFCG,
GEOL 3128 & GEOL 3129 Sedimentology and Stratigraphy and Sedimentology and Stratigraphy Lab,ESTM,
GER 2091 Introduction to German Literature—in English I,"EFCC, EEEB",
GER 2092 Introduction to German Literature—in English II,"EFCC, EEEB",
GER 2161 German Culture–in English I,"EFCC, EEEB",
GER 2162 German Culture–in English II,"EFCC, EEEB",
GER 3185 Literary Voices and the Fascist Experience—in English,"EFCC, EEEB",
GER 3187 German Cinema after 1945,"EFCC, EEEB",
GER 3188 The Lives of East Germans,"EFCC, EFCA, EEEA, EEEB",
GER 4174 Inside/Outside the Third Reich,"EFCC, EEEA, EEEB",
GER 4175 Literature of two Germanies,"EFCC, EEEB",
HEBR 3104W Gender and Sexuality in Israel,"EMEB, EFCJ",
HEBR 3301 Modern Hebrew Fiction,EMEB,
HEBR 3301W Modern Hebrew Fiction,EMEB,
"HIST 1121 The War of Ideas in European and International History, 1750-Present",EEEB,
HIST 2001 Pan-Africanism in Africa,ERFA,
HIST 2001 Special Topics (Modern European Women's History ( Same as WGSS 3170: Modern European Women's History)) CHANGE FORMATTING TO: (same as WGSS 3170: Modern European Women's History),"EFCJ, EEEB",
"HIST 2001 Special Topics (Muslims, Christians and Jews in Medieval Spain)",EEEB,
HIST 2001 Special Topics (Pan-Africanism and Africa),EAFB,
"HIST 2001 Special Topics (Science, Technology, and Espionage. Same as IAFF 3190: Science, Technology, and Espionage)",EFCI,
HIST 2001 Special Topics (Spaceflight and the Modern World. Same as IAFF 3204: Spaceflight and the Modern World),EFCH,
HIST 2001 Special Topics (Spaceflight and the Modern World),EFCI,
HIST 2001 Special Topics (War & Peace in Israeli History),EMEB,
HIST 2005W Majors’ Introductory Seminar (US and the Indochina Wars),EASB,
HIST 2050 History of Jewish Civilization: From the Bible to Modernity,EMEB,
HIST 2060 Modern Jewish History,"EEEB, EMEB",
HIST 2113 The Roman World to 337 A.D.,EEEB,
HIST 2115 The Middle Ages: 500 to 1500,EEEB,
HIST 2124 Nineteenth-Century Europe,EEEB,
HIST 2125 Twentieth-Century Europe,"ERFD, EEEB",
HIST 2141 History of France Since 1789,EEEB,
HIST 2305W Majors’ Introductory Seminar: United States (Cold War in Asia),EASB,
HIST 2340 U.S. Diplomatic History,EFCH,
HIST 2340W U.S. Diplomatic History,"ESHA, EFCH",
HIST 2520 Africans in the Making of the Atlantic World,EAFB,
HIST 2601 Topics: Asian History (WWII in Asia: History & Memory),EASB,
HIST 2605W Majors’ Introductory Seminar: Asia (All topics),EASB,
HIST 2630 History of Korea,EASB,
HIST 2710  The United States in the World,ESHA,
HIST 2805W Majors’ Introductory Seminar: Middle East (All topics),EMEB,
HIST 3001  Al Andalus and Sepharad (Same as PSC 2993: Al Andalus and Sepharad),EEEB,
HIST 3001 Special Topics (Costs of Reproduction. Same as WGSS 3170: Costs of Reproduction),EFCJ,
HIST 3001 Special Topics (From Asia to America: Diasporas),"EFCA, EASB",
HIST 3001W or WGSS 3170W: Gender and the Arab World,EMEB,
"HIST 3001W Special Topics (Gender and Sexuality in Israel)
or JSTD 2002W or WGSS 3170W (Gender and Sexuality in Israel)","EMEB, EFCJ",
HIST 3001W Special Topics (Gender in the Arab World). Same as ARAB 3105W and WGSS 3170W Gender in the Arab World.,"EFCJ, EMEB",
HIST 3001W Special Topics (The Korean War),EASB,
"HIST 3035 The United States and the Wars in Indochina, 1945–1975","EFCB, EFCH, EFCI, EASB",
HIST 3044W The Price of Freedom: Normandy 1944,"EFCI, EEEB",
HIST 3045 International History of the Cold War,"ESHA, EFCB, EFCH, EFCI",
HIST 3061 The Holocaust (Same as JSTD 2002: The Holocaust),"EFCI, EEEB",
HIST 3062 War Crimes Trials (Same as JSTD 2002: War Crimes Trials),"EFCB, EFCH, EFCI",
HIST 3101 Topics: Europe,EEEB,
HIST 3101 Topics: Europe (Irish History),EFCB,
HIST 3101W Topics: Europe,EEEB,
HIST 3134 Stuart England,EEEB,
HIST 3137 The British Empire,EEEB,
HIST 3148 El Camino de Santiago (Same as SOC 2181: El Camino de Santiago),"EFCC, EEEB",
HIST 3149 History of Spain,EEEB,
HIST 3168 Divided and United Germany Since 1945,"ERFD, EFCB, EFCH, EFCI, EEEB",
HIST 3173 The Habsburgs in East Central Europe,EEEB,
HIST 3181 Russia Since 1801,EEEB,
HIST 3333 History of American Foreign Policy Since World War II,"EFCH, EFCI",
HIST 3334 The Nuclear Arms Race,"EFCB, EFCH, EFCI",
HIST 3530 Women in Africa,"ERFA, EAFB",
HIST 3540 West Africa to Independence,EAFB,
HIST 3601 Topics: Asian History  (All Topics),EASB,
HIST 3601 Topics: Asian History (World War II in Asia),EFCB,
HIST 3611 History of Modern China,"ERFC, EASB",
